eye1,eye2,nose,mouth,head,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4081764817237854, 0.5255132913589478, 0.43377429246902466, 0.5626125335693359)",Sideways_89_jpg.rf.a6f56a333a91ad3618c02ae3c2158a73.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_05_JPG_jpg.rf.d1de2c4a1111a2e4bf158ee897f4cdb0.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby44_jpg.rf.f0f2dd958eb0b2a0b85c3d60b21e3e69.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_39_JPG_jpg.rf.3d42ac5690cf29d28f0918d5d9a5bf5b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2363_png_jpg.rf.26b24e23c084073a7c98b607a8430ad3.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",E68DFF05-B269-4D32-8F44-A12CF04A9172_JPG_jpg.rf.4c52cce5832b5b08c89530c3c041717b.jpg,2
"(0.45782971382141113, 0.5885599255561829)","(0.40459999442100525, 0.5810279846191406)","(0.42184585332870483, 0.6050820350646973)","(-1, -1)","(0.45506516098976135, 0.5875685811042786, 0.1899307519197464, 0.1509515792131424)",baby33_jpg.rf.df28a1ecde525eaa674aa0b43e30becd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",1251_png_jpg.rf.694d1953c8dc9caacc8ae73e48ec9bd2.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",24_JPG_jpg.rf.6d4f28c23ad69893aa51033c64bfa9c2.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Prone_198_jpg.rf.740d57e004b8f2ee049eb52502a15527.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",20_JPG_jpg.rf.fc859328e9dcea8454e4649972bd9fee.jpg,2
"(0.36380958557128906, 0.13998456299304962)","(-1, -1)","(0.3136618733406067, 0.17452900111675262)","(0.3324217200279236, 0.2226000279188156)","(0.4943448007106781, 0.13990962505340576, 0.40382614731788635, 0.27914077043533325)",baby36_jpg.rf.1698207c1e744e5b052076859aa593a2.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.18319369852542877, 0.21250426769256592, 0.3413383662700653, 0.38328975439071655)",44_jpg.rf.6d1a89a95e50b4440864e86a45680be7.jpg,2
"(0.797010064125061, 0.08109953254461288)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby46_jpg.rf.1946de24fab4434b19933ddc34d22773.jpg,1
"(0.3563680350780487, 0.23497065901756287)","(-1, -1)","(0.40200939774513245, 0.25542110204696655)","(0.4025997221469879, 0.3234734833240509)","(0.4563090205192566, 0.0867355465888977, 0.20406627655029297, 0.16373856365680695)",Sideways_19_jpg.rf.dac7727a3ffc36736b5adea75f8c6aca.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_07_JPG_jpg.rf.09843898995a94b1a89c96c8f28f2590.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby38_jpg.rf.0a716a9a9401f5817a7b4c9acd8a80d6.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby46_jpg.rf.3f0d64baeab8b2bf66ae568619e6460b.jpg,1
