nose_k,left_eye_k,right_eye_k,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,eye1,eye2,nose,mouth,head,image_path,label
"(0.5038059949874878, 0.5425757765769958)","(0.548958420753479, 0.5166415572166443)","(0.5290319919586182, 0.5230056643486023)","(0.5766869187355042, 0.5057727694511414)","(0.5177388191223145, 0.515906035900116)","(0.4886975884437561, 0.49852555990219116)","(0.40118083357810974, 0.5993157029151917)","(0.4656759798526764, 0.6535560488700867)","(0.3222746253013611, 0.7711942791938782)","(0.4659738540649414, 0.7164319753646851)","(0.3321503698825836, 0.807475745677948)","(0.37501227855682373, 0.5302590131759644)","(0.2889397442340851, 0.6028059124946594)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.406229168176651, 0.49659210443496704, 0.44733133912086487, 0.49718254804611206)",Sideways_89_jpg.rf.a6f56a333a91ad3618c02ae3c2158a73.jpg,1
"(0.35188406705856323, 0.7374834418296814)","(0.33699801564216614, 0.6948834657669067)","(0.3208518922328949, 0.7431143522262573)","(0.3736308217048645, 0.593382716178894)","(0.3252469599246979, 0.7227302193641663)","(0.4698246121406555, 0.5646583437919617)","(0.4295632839202881, 0.7476526498794556)","(0.5279341340065002, 0.5232251882553101)","(0.4485192894935608, 0.8584781885147095)","(0.4531176686286926, 0.4978567957878113)","(0.41177797317504883, 0.8526217341423035)","(0.7011077404022217, 0.6169745326042175)","(0.6662107110023499, 0.7969885468482971)","(0.7384289503097534, 0.6122019290924072)","(0.68714439868927, 0.9617096185684204)","(0.8127692341804504, 0.7001568078994751)","(0.8025773763656616, 0.931956946849823)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3316466808319092, 0.5991604924201965, 0.1579819619655609, 0.2973325848579407)",Cubo_05_JPG_jpg.rf.d1de2c4a1111a2e4bf158ee897f4cdb0.jpg,2
"(0.8038495182991028, 0.5994570255279541)","(0.8373699188232422, 0.5690237879753113)","(0.8244951367378235, 0.6541568636894226)","(0.8388290405273438, 0.47255510091781616)","(0.8194858431816101, 0.7613769769668579)","(0.722925066947937, 0.42533499002456665)","(0.6848393678665161, 0.7516647577285767)","(0.6916258931159973, 0.1871720850467682)","(0.6367122530937195, 0.8371478915214539)","(0.7675493359565735, 0.11681647598743439)","(0.7066993713378906, 0.8501860499382019)","(0.39060020446777344, 0.4161666929721832)","(0.31718263030052185, 0.7245720624923706)","(0.3422912657260895, 0.25114554166793823)","(0.2484249770641327, 0.723051905632019)","(0.17542067170143127, 0.39759618043899536)","(0.10704417526721954, 0.5807881355285645)","(0.8405969738960266, 0.6708656549453735)","(0.8511886596679688, 0.5541306734085083)","(0.822311282157898, 0.6106249094009399)","(0.7827173471450806, 0.6056033968925476)","(0.8718616366386414, 0.6115387678146362, 0.24866223335266113, 0.28308600187301636)",baby44_jpg.rf.f0f2dd958eb0b2a0b85c3d60b21e3e69.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5774679780006409, 0.11800871044397354, 0.4357658326625824, 0.22824525833129883)",Nanit_39_JPG_jpg.rf.3d42ac5690cf29d28f0918d5d9a5bf5b.jpg,2
"(0.6223902702331543, 0.11976964771747589)","(0.6355379223823547, 0.09885656833648682)","(0.6682705283164978, 0.10321386158466339)","(0.6643956899642944, 0.14939293265342712)","(0.7685152888298035, 0.15619032084941864)","(0.6756753921508789, 0.24900731444358826)","(0.755947470664978, 0.2668847143650055)","(0.49630850553512573, 0.3740745484828949)","(0.7155963182449341, 0.4258364737033844)","(0.38994598388671875, 0.4899890422821045)","(0.6147303581237793, 0.5367827415466309)","(0.5997361540794373, 0.6260461211204529)","(0.6579937934875488, 0.6463292241096497)","(0.47744256258010864, 0.7095223069190979)","(0.5368216037750244, 0.7558255195617676)","(0.4050411283969879, 0.8676735758781433)","(0.43817782402038574, 0.9184666872024536)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7344851493835449, 0.129198357462883, 0.36247044801712036, 0.2554106116294861)",2363_png_jpg.rf.26b24e23c084073a7c98b607a8430ad3.jpg,2
"(0.3793879747390747, 0.46924829483032227)","(0.36898407340049744, 0.48098310828208923)","(0.3678526282310486, 0.4683411717414856)","(0.3777388036251068, 0.5092897415161133)","(0.3739318251609802, 0.47816354036331177)","(0.4231051504611969, 0.5169128179550171)","(0.4236737787723541, 0.4930025041103363)","(0.448283851146698, 0.4882846772670746)","(0.4567180573940277, 0.46415314078330994)","(0.450260728597641, 0.4468301236629486)","(0.4763830304145813, 0.43385767936706543)","(0.5358327627182007, 0.5319737792015076)","(0.5356999039649963, 0.5165939331054688)","(0.5493408441543579, 0.49642080068588257)","(0.5472923517227173, 0.4847140312194824)","(0.6041378974914551, 0.5099675059318542)","(0.5990777015686035, 0.5089646577835083)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3618866801261902, 0.4941788613796234, 0.1162387877702713, 0.11287517845630646)",E68DFF05-B269-4D32-8F44-A12CF04A9172_JPG_jpg.rf.4c52cce5832b5b08c89530c3c041717b.jpg,2
"(0.42026129364967346, 0.6058138608932495)","(0.43282994627952576, 0.5897742509841919)","(0.4189332127571106, 0.5911648273468018)","(0.4508064389228821, 0.6121695637702942)","(0.42808493971824646, 0.6148841381072998)","(0.4637463688850403, 0.6879958510398865)","(0.4317242205142975, 0.6896962523460388)","(0.3919519782066345, 0.7443143725395203)","(0.36636653542518616, 0.7423089742660522)","(0.2896019518375397, 0.754875123500824)","(0.2858137786388397, 0.7485713958740234)","(0.46096983551979065, 0.860480785369873)","(0.42244940996170044, 0.8469653129577637)","(0.4138438105583191, 0.8473603129386902)","(0.3599991500377655, 0.8444385528564453)","(0.3705434203147888, 0.896290123462677)","(0.3624635338783264, 0.8776655197143555)","(0.4585278630256653, 0.5882724523544312)","(0.4076242446899414, 0.5857197642326355)","(0.42668065428733826, 0.6128700375556946)","(-1, -1)","(0.46093934774398804, 0.5888684391975403, 0.1764988899230957, 0.14656925201416016)",baby33_jpg.rf.df28a1ecde525eaa674aa0b43e30becd.jpg,1
"(0.1625255048274994, 0.4392017722129822)","(0.13172832131385803, 0.41163063049316406)","(0.11844515800476074, 0.48104915022850037)","(0.17652420699596405, 0.33248409628868103)","(0.13433738052845, 0.5660480856895447)","(0.3307039439678192, 0.3529469072818756)","(0.311391681432724, 0.613060474395752)","(0.4249953329563141, 0.2076505720615387)","(0.3740428388118744, 0.6991145014762878)","(0.3124499022960663, 0.10446567833423615)","(0.2614247500896454, 0.6640067100524902)","(0.7820247411727905, 0.4652296006679535)","(0.7687076330184937, 0.7323349714279175)","(0.7897567749023438, 0.4083571434020996)","(0.8139945864677429, 0.783646285533905)","(0.9136465191841125, 0.5596199035644531)","(0.9221607446670532, 0.7248994708061218)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.1574585735797882, 0.5162421464920044, 0.2840716242790222, 0.4527084231376648)",1251_png_jpg.rf.694d1953c8dc9caacc8ae73e48ec9bd2.jpg,2
"(0.6103375554084778, 0.4770238995552063)","(0.6238036155700684, 0.471422016620636)","(0.6287096738815308, 0.49099570512771606)","(0.6123797297477722, 0.4669361114501953)","(0.6172288656234741, 0.5349439382553101)","(0.5440866351127625, 0.4918810725212097)","(0.5453139543533325, 0.550249457359314)","(0.5425708293914795, 0.44946107268333435)","(0.5498700141906738, 0.5811721682548523)","(0.6176084876060486, 0.43255680799484253)","(0.633633553981781, 0.5725851058959961)","(0.3389175236225128, 0.5384881496429443)","(0.3398773670196533, 0.5872587561607361)","(0.24622678756713867, 0.5215697884559631)","(0.24231572449207306, 0.5579513311386108)","(0.1178714781999588, 0.5782108902931213)","(0.12285909801721573, 0.5614644289016724)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.62603360414505, 0.5064460635185242, 0.12241534888744354, 0.10236167907714844)",24_JPG_jpg.rf.6d4f28c23ad69893aa51033c64bfa9c2.jpg,1
"(0.7696614861488342, 0.6500401496887207)","(0.8022443652153015, 0.6719444394111633)","(0.8114740252494812, 0.6734853982925415)","(0.7899622917175293, 0.6936262845993042)","(0.8184894323348999, 0.6995649933815002)","(0.6569117903709412, 0.6656986474990845)","(0.6937465667724609, 0.6749522089958191)","(0.535000205039978, 0.5564551949501038)","(0.6091266870498657, 0.5685743093490601)","(0.5144966244697571, 0.44789138436317444)","(0.5527900457382202, 0.48121705651283264)","(0.3712942898273468, 0.5905125141143799)","(0.4193054139614105, 0.5866686105728149)","(0.266003280878067, 0.48815804719924927)","(0.3434501588344574, 0.461292564868927)","(0.17208120226860046, 0.4504122734069824)","(0.2080625295639038, 0.4018639028072357)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Prone_198_jpg.rf.740d57e004b8f2ee049eb52502a15527.jpg,2
