nose_k,left_eye_k,right_eye_k,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,eye1,eye2,nose,mouth,head,image_path,label
"(0.24444179236888885, 0.6534465551376343)","(0.21335649490356445, 0.5545331239700317)","(0.17907898128032684, 0.7198880314826965)","(0.2545894980430603, 0.40638214349746704)","(0.163582444190979, 0.8246962428092957)","(0.39263057708740234, 0.4771799147129059)","(0.37611737847328186, 0.8239989280700684)","(0.5115036368370056, 0.24699954688549042)","(0.5060308575630188, 0.8881195187568665)","(0.6403926610946655, 0.14554667472839355)","(0.658503532409668, 0.6714836359024048)","(0.7645536661148071, 0.41320639848709106)","(0.7309519052505493, 0.7503113746643066)","(0.7337939143180847, 0.23932406306266785)","(0.6933920979499817, 0.7712752223014832)","(0.8410000801086426, 0.2542693614959717)","(0.8052972555160522, 0.39150363206863403)","(0.2151803970336914, 0.5221420526504517)","(0.17809972167015076, 0.7031399011611938)","(0.23715099692344666, 0.63725346326828)","(0.2938876748085022, 0.6580328941345215)","(0.18235310912132263, 0.608679473400116, 0.3641943335533142, 0.49562549591064453)",36_jpg.rf.779d6d613b5074e17373dbab68780701.jpg,1
"(0.6721895933151245, 0.7628681063652039)","(0.7095537185668945, 0.7533794641494751)","(0.7028629779815674, 0.7758175134658813)","(0.7187959551811218, 0.5955886244773865)","(0.7085030674934387, 0.678015410900116)","(0.6301342248916626, 0.35714077949523926)","(0.5795003175735474, 0.6863381266593933)","(0.5361738204956055, 0.12721559405326843)","(0.45502519607543945, 0.784471869468689)","(0.7473777532577515, 0.13914147019386292)","(0.6394268870353699, 0.8392078280448914)","(0.22522620856761932, 0.17301610112190247)","(0.21686318516731262, 0.5136538743972778)","(0.1579807996749878, 0.2547667324542999)","(0.2027595490217209, 0.7903253436088562)","(0.011466503143310547, 0.2784830629825592)","(0.0637756809592247, 0.6656562685966492)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",56_jpg.rf.e0c3f5edbef979d2a4414f90caff9cbc.jpg,2
"(0.5600088238716125, 0.7579751014709473)","(0.5943809747695923, 0.8316978216171265)","(0.530731737613678, 0.7910267114639282)","(0.7023292779922485, 0.8771082758903503)","(0.5140758752822876, 0.7108047604560852)","(0.7736238837242126, 0.6036804914474487)","(0.4849933981895447, 0.5957809090614319)","(0.8448122143745422, 0.4693470895290375)","(0.3018791079521179, 0.4752933084964752)","(0.7923365831375122, 0.4549674987792969)","(0.276006817817688, 0.4948031008243561)","(0.7785908579826355, 0.1314082145690918)","(0.48369646072387695, 0.07656445354223251)","(0.7779678106307983, 0.2871595323085785)","(0.37219566106796265, 0.13467416167259216)","(0.6296612024307251, 0.24777181446552277)","(0.38166967034339905, 0.12226252257823944)","(0.5210382342338562, 0.7889830470085144)","(0.6411111950874329, 0.8158181309700012)","(0.5936436057090759, 0.7740238904953003)","(0.6137965321540833, 0.717432975769043)","(0.5856192708015442, 0.7882927656173706, 0.31822147965431213, 0.3396323323249817)",39_jpg.rf.0df36808ab6033daeb56f32e9084f762.jpg,1
"(0.32136115431785583, 0.8331447839736938)","(0.24390681087970734, 0.8941957354545593)","(0.43531742691993713, 0.8675211071968079)","(0.17804107069969177, 0.8871428370475769)","(0.6535370349884033, 0.8444873094558716)","(0.24702253937721252, 0.7305682897567749)","(0.644402265548706, 0.653748631477356)","(0.14927835762500763, 0.6141875386238098)","(0.7514840960502625, 0.592804491519928)","(0.06114022806286812, 0.45602482557296753)","(0.9375091791152954, 0.7137734293937683)","(0.26725131273269653, 0.3385060429573059)","(0.6700392961502075, 0.2626238465309143)","(0.18927893042564392, 0.03617219999432564)","(0.552844226360321, 0.053297996520996094)","(0.31593841314315796, 0.0)","(-1, -1)","(0.4337119162082672, 0.8673683404922485)","(0.25446730852127075, 0.869480311870575)","(0.3195246756076813, 0.8403991460800171)","(0.32629621028900146, 0.7880489826202393)","(0.41667279601097107, 0.8579437136650085, 0.4496694505214691, 0.27302590012550354)",33_JPG_jpg.rf.59798566c4bd2826146ff395acf3b20f.jpg,1
"(0.64146488904953, 0.27529868483543396)","(0.6186002492904663, 0.24046459794044495)","(0.6180675625801086, 0.23706090450286865)","(0.5261268019676208, 0.22117605805397034)","(0.522617518901825, 0.21299877762794495)","(0.4120148718357086, 0.29785794019699097)","(0.5277815461158752, 0.3484126031398773)","(0.45498165488243103, 0.38870078325271606)","(0.6425057649612427, 0.4749371409416199)","(0.5345595479011536, 0.2968652844429016)","(0.6630488634109497, 0.3120027482509613)","(0.30217570066452026, 0.6026283502578735)","(0.42057737708091736, 0.6530659794807434)","(0.3803326189517975, 0.6416569352149963)","(0.5188474655151367, 0.7379664182662964)","(0.40867286920547485, 0.7316526174545288)","(0.4299374222755432, 0.7772006988525391)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5325237512588501, 0.19596071541309357, 0.26863574981689453, 0.2294350564479828)",baby35_jpg.rf.419b304ecf04b7aea1074506a18e97b6.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_06_JPG_jpg.rf.3eda5a225e98a407845601c4dd9a3bfc.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_36_JPG_jpg.rf.c9c05da226140c29c7acc9e3290d0165.jpg,2
"(0.42344698309898376, 0.4690856337547302)","(0.440014511346817, 0.4522806704044342)","(0.44633612036705017, 0.4605029225349426)","(0.47778090834617615, 0.5094286203384399)","(0.5061509013175964, 0.5359193086624146)","(0.46146273612976074, 0.5932914018630981)","(0.5146898031234741, 0.6479413509368896)","(0.3531638979911804, 0.6216136813163757)","(0.5198971629142761, 0.7320119142532349)","(0.2678016126155853, 0.5157536268234253)","(0.49789637327194214, 0.6203393340110779)","(0.3848434090614319, 0.7551932334899902)","(0.3986775279045105, 0.8056862950325012)","(0.2715269923210144, 0.7823680639266968)","(0.2926742434501648, 0.8192933201789856)","(0.2052779197692871, 0.8127644658088684)","(0.21385769546031952, 0.7857663035392761)","(-1, -1)","(-1, -1)","(0.4179748594760895, 0.473672091960907)","(-1, -1)","(0.4810780882835388, 0.48894500732421875, 0.17676801979541779, 0.16571426391601562)",Sideways_76_jpg.rf.ec4517e7bf5eaf3ae921643d4b2ee950.jpg,1
"(0.23986998200416565, 0.29160335659980774)","(0.25984954833984375, 0.24684281647205353)","(0.18625614047050476, 0.28923922777175903)","(0.3314906060695648, 0.2052585631608963)","(0.18245652318000793, 0.32523053884506226)","(0.46124202013015747, 0.26940733194351196)","(0.23953302204608917, 0.44702330231666565)","(0.5026786923408508, 0.20239469408988953)","(0.19525650143623352, 0.5421136617660522)","(0.33555564284324646, 0.21261778473854065)","(0.3027881979942322, 0.36511704325675964)","(0.8096437454223633, 0.629076361656189)","(0.5763719081878662, 0.8137676119804382)","(0.8845536112785339, 0.6576264500617981)","(0.641873836517334, 0.9230982661247253)","(0.8488761186599731, 0.8802804946899414)","(0.8217464685440063, 0.9817970395088196)","(-1, -1)","(-1, -1)","(0.2695687711238861, 0.24986834824085236)","(-1, -1)","(0.16594365239143372, 0.2070583552122116, 0.3281340003013611, 0.392583429813385)",baby16_jpg.rf.04b17cc0c041d9267ca33355873991b3.jpg,1
"(0.4548463821411133, 0.5698584318161011)","(0.4425564706325531, 0.5591133236885071)","(0.46075043082237244, 0.5669015049934387)","(0.37010595202445984, 0.5484399199485779)","(0.4387487471103668, 0.5868374705314636)","(0.3106365203857422, 0.5875328183174133)","(0.43382978439331055, 0.6379677057266235)","(0.2217952460050583, 0.5795308351516724)","(0.4879332482814789, 0.6620452404022217)","(0.20166495442390442, 0.5674998164176941)","(0.5014533400535583, 0.6202069520950317)","(0.20268210768699646, 0.8025385141372681)","(0.37320205569267273, 0.8479945063591003)","(0.13242311775684357, 0.8053396344184875)","(0.4317967891693115, 0.8788487315177917)","(0.19258694350719452, 0.8401461839675903)","(0.4189114570617676, 0.909070611000061)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",youtube-1_jpg.rf.a1516a1d02e2f19ce29301d0ef3a8a51.jpg,2
"(0.1649792641401291, 0.6299401521682739)","(0.13861298561096191, 0.5755293965339661)","(0.13956673443317413, 0.6550237536430359)","(0.14721687138080597, 0.44559136033058167)","(0.15472181141376495, 0.6519469022750854)","(0.2614765167236328, 0.3802657127380371)","(0.2508338987827301, 0.6790643930435181)","(0.2226203978061676, 0.23660452663898468)","(0.24056696891784668, 0.8275259137153625)","(0.21327976882457733, 0.190937802195549)","(0.16735689342021942, 0.837550938129425)","(0.5837830305099487, 0.3451797366142273)","(0.5379818677902222, 0.625252366065979)","(0.6560683250427246, 0.4390132427215576)","(0.5852043628692627, 0.8481994867324829)","(0.7898184061050415, 0.5274685025215149)","(0.7275479435920715, 0.7416045069694519)","(-1, -1)","(-1, -1)","(0.16139498353004456, 0.6082919836044312)","(-1, -1)","(0.12393669039011002, 0.5538393259048462, 0.24160949885845184, 0.3040370047092438)",Miku_12_JPG_jpg.rf.325440c64ab16948ffcd56e576c50dbb.jpg,1
