right_eye,left_eye,nose,mouth_right,mouth_left,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2460_png_jpg.rf.7e7dedbe50b96b8c1da6a09294db1b50.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1_jpeg_jpg.rf.b6693f13598ea1f37d0012013d817dfd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_11_10_png_jpg.rf.4abf681b9d6728feace71886bf00d893.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",754_png_jpg.rf.59651df83ac0799b66b9c0c9902a5a68.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",80_jpg.rf.335be5e3e8664408e1f37b7d29441f9a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",95_jpg.rf.8c6c7c9fb29161dc427a6adcfee8a963.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2363_png_jpg.rf.f6c7b21e8095194d731f32d40a8c7720.jpg,2
"(339.0, 82.0)","(246.0, 92.0)","(304.0, 127.0)","(335.0, 180.0)","(260.0, 186.0)",Nanit_21_JPG_jpg.rf.66d4221bcfa5fbe245a4cb9c9fcf2cb7.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby31_jpg.rf.55b5cb5873c697bf02523ac997d6ac5e.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",28_jpg.rf.66692b6b4309013ae7d259fc38cd0714.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby31_jpg.rf.825494a369c1e344328f85ccaaebe6c3.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",100_jpg.rf.08c8540b0645311a24da446fa06eb64d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",61_jpg.rf.c8ebf00db2cfabe41ca49018a619fd62.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",50_jpg.rf.93d6c51bfd14a04c261f1bfff343ad43.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Supine_91_jpg.rf.f8f6120d134e778ed908ceed4accf2a1.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",8_JPG_jpg.rf.3e6c82cc39bd468ff4cab813dc7b49bd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2002_png_jpg.rf.9a75847b8e9c4407bef3395138f47ed2.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",81_jpg.rf.157e309f5d220d8eb2be39d096121555.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",7_jpg.rf.e6726d84870d1853e949317db2bcf3cf.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",9500_png_jpg.rf.9bfcd7631a59ef6aa7d11e210c90b33d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",3671_png_jpg.rf.03902ed21fd147089c71eedef0e2a0f5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Supine_190_jpg.rf.63e54da11df681781eb4f467c94423a1.jpg,1
