f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.12470338,0.012603195,0.14912714,0.1312114,-0.16673872,0.15809852,0.003725956,0.12031137,0.13533506,0.030947946
-0.0819281,-0.14024642,0.15321068,0.030579932,0.0082443515,0.17821755,0.1264043,0.09398798,0.14483497,0.13178694
-0.14456974,-0.029547421,0.15554108,0.11398733,-0.13961092,0.16968189,0.037143555,0.10654532,0.1461013,0.06194889
-0.12054134,-0.022559796,0.16076592,0.114578046,-0.1504398,0.16448411,0.01082558,0.10825227,0.1466916,0.037092607
-0.08782538,-0.15544803,0.14404139,0.03441368,0.0016325889,0.186289,0.108794846,0.10724974,0.13988157,0.12650533
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.11871915,-0.026258541,0.1295761,0.124922276,-0.14827527,0.15574816,0.038686477,0.10436889,0.14478455,0.05350559
-0.13039139,0.0030777424,0.14434937,0.12580357,-0.16330323,0.15287444,0.0022907685,0.10567423,0.13913542,0.030164052
-0.09487372,-0.096800104,0.13098907,0.060219496,-0.05063904,0.17634657,0.094355725,0.1102393,0.18141341,0.10654463
-0.12838808,0.019524522,0.1401549,0.1337786,-0.17335811,0.14637822,-0.0046684803,0.09944898,0.13227968,0.021596441
-0.13505366,-0.0012417439,0.15280853,0.12813218,-0.15652138,0.15578389,0.0007925396,0.10694816,0.13965465,0.029841403
-0.13748595,-0.01027231,0.14823002,0.12227488,-0.15602788,0.16646393,0.009345676,0.109049164,0.14362402,0.038124558
-0.13777028,0.0030172465,0.14453118,0.12958884,-0.15487887,0.1532704,-0.00052143366,0.11519352,0.13461052,0.036478244
-0.08795785,-0.14416733,0.15095122,0.035439294,0.0010670248,0.18566254,0.108495675,0.09764412,0.14458425,0.13711917
-0.11176345,-0.017336898,0.1657537,0.1246758,-0.1438692,0.16092432,-0.0049353316,0.10126116,0.15128519,0.03259711
-0.13327017,-0.004282919,0.13013186,0.13000734,-0.17022014,0.16927737,0.013957569,0.103482656,0.123499155,0.039083127
-0.13486134,0.019454466,0.13692226,0.12821884,-0.1741537,0.15151884,-0.0071873134,0.097073175,0.13587667,0.02706476
-0.1207944,-0.004492395,0.15428491,0.12832835,-0.17802936,0.13575763,0.011708229,0.09440439,0.124802575,0.024954721
-0.11376317,-0.03865309,0.17339341,0.110343374,-0.13279007,0.164,0.03514484,0.10889098,0.14854237,0.058823425
-0.08485796,-0.13655597,0.16516213,0.04188245,-0.0005637862,0.18478669,0.10594762,0.096666925,0.15748617,0.12010665
-0.060461376,-0.14579375,0.14668487,0.01880919,0.024498364,0.18285139,0.124892995,0.10495005,0.14756021,0.13732116
-0.11313562,0.008790644,0.14242029,0.1199877,-0.1475419,0.14826944,0.013515752,0.10798237,0.14525938,0.016833954
-0.12796813,-0.018154787,0.15043576,0.12781486,-0.16419019,0.15947397,0.003216266,0.10432905,0.13803983,0.04182509
-0.08467381,-0.12589192,0.14320838,0.048613973,0.0017986931,0.17458485,0.1205506,0.102304876,0.1503924,0.12482982
-0.0994769,-0.07523472,0.15059571,0.09237938,-0.13774496,0.16287705,0.07001339,0.10114558,0.14638174,0.0778467
